pos:C,name:Ken Huckaby,age:31,games:88,plate_appearances:283,at_bats:273,runs:29,hits:67,doubles:6,triples:1,home_runs:3,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:44,batting_avg:.245,onbase:.270,slugging:.308,ops:erc">.308,ops+:lugging">.577,bases:84,double_plays:10,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:1B,name:Carlos Delgado,age:30,games:143,plate_appearances:628,at_bats:505,runs:103,hits:140,doubles:34,triples:2,home_runs:33,runs_batted_in:108,stolen_bases:1,caught_stealing:0,walks:102,strikeouts:126,batting_avg:.277,onbase:.406,slugging:.549,ops:erc">.549,ops+:lugging">.955,bases:277,double_plays:8,hit_by_pitch:13,sac_hits:0,sac_flies:8,intentional_walks:18
pos:2B,name:Orlando Hudson,age:24,games:54,plate_appearances:207,at_bats:192,runs:20,hits:53,doubles:10,triples:5,home_runs:4,runs_batted_in:23,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:27,batting_avg:.276,onbase:.319,slugging:.443,ops:erc">.443,ops+:lugging">.762,bases:85,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:SS,name:Chris Woodward,age:26,games:90,plate_appearances:350,at_bats:312,runs:48,hits:86,doubles:13,triples:4,home_runs:13,runs_batted_in:45,stolen_bases:3,caught_stealing:0,walks:26,strikeouts:72,batting_avg:.276,onbase:.330,slugging:.468,ops:erc">.468,ops+:lugging">.797,bases:146,double_plays:8,hit_by_pitch:3,sac_hits:1,sac_flies:8,intentional_walks:0
pos:3B,name:Eric Hinske,age:24,games:151,plate_appearances:650,at_bats:566,runs:99,hits:158,doubles:38,triples:2,home_runs:24,runs_batted_in:84,stolen_bases:13,caught_stealing:1,walks:77,strikeouts:138,batting_avg:.279,onbase:.365,slugging:.481,ops:erc">.481,ops+:lugging">.845,bases:272,double_plays:12,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:5
pos:LF,name:Shannon Stewart,age:28,games:141,plate_appearances:641,at_bats:577,runs:103,hits:175,doubles:38,triples:6,home_runs:10,runs_batted_in:45,stolen_bases:14,caught_stealing:2,walks:54,strikeouts:60,batting_avg:.303,onbase:.371,slugging:.442,ops:erc">.442,ops+:lugging">.813,bases:255,double_plays:17,hit_by_pitch:9,sac_hits:0,sac_flies:1,intentional_walks:2
pos:CF,name:Vernon Wells,age:23,games:159,plate_appearances:648,at_bats:608,runs:87,hits:167,doubles:34,triples:4,home_runs:23,runs_batted_in:100,stolen_bases:9,caught_stealing:4,walks:27,strikeouts:85,batting_avg:.275,onbase:.305,slugging:.457,ops:erc">.457,ops+:lugging">.762,bases:278,double_plays:15,hit_by_pitch:3,sac_hits:2,sac_flies:8,intentional_walks:0
pos:RF,name:Raul Mondesi,age:31,games:75,plate_appearances:335,at_bats:299,runs:51,hits:67,doubles:16,triples:1,home_runs:15,runs_batted_in:45,stolen_bases:9,caught_stealing:2,walks:31,strikeouts:57,batting_avg:.224,onbase:.301,slugging:.435,ops:erc">.435,ops+:lugging">.736,bases:130,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
pos:DH,name:Josh Phelps,age:24,games:74,plate_appearances:287,at_bats:265,runs:41,hits:82,doubles:20,triples:1,home_runs:15,runs_batted_in:58,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:82,batting_avg:.309,onbase:.362,slugging:.562,ops:erc">.562,ops+:lugging">.925,bases:149,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jose Cruz,age:28,games:124,plate_appearances:522,at_bats:466,runs:64,hits:114,doubles:26,triples:5,home_runs:18,runs_batted_in:70,stolen_bases:7,caught_stealing:1,walks:51,strikeouts:106,batting_avg:.245,onbase:.317,slugging:.438,ops:erc">.438,ops+:lugging">.754,bases:204,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:1
pos:IF,name:Dave Berg,age:31,games:109,plate_appearances:414,at_bats:374,runs:42,hits:101,doubles:26,triples:2,home_runs:4,runs_batted_in:39,stolen_bases:0,caught_stealing:2,walks:26,strikeouts:57,batting_avg:.270,onbase:.322,slugging:.382,ops:erc">.382,ops+:lugging">.704,bases:143,double_plays:6,hit_by_pitch:5,sac_hits:4,sac_flies:5,intentional_walks:1
pos:SS,name:Felipe Lopez,age:22,games:85,plate_appearances:309,at_bats:282,runs:35,hits:64,doubles:15,triples:3,home_runs:8,runs_batted_in:34,stolen_bases:5,caught_stealing:4,walks:23,strikeouts:90,batting_avg:.227,onbase:.287,slugging:.387,ops:erc">.387,ops+:lugging">.673,bases:109,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:C,name:Tom Wilson,age:31,games:96,plate_appearances:302,at_bats:265,runs:33,hits:68,doubles:10,triples:0,home_runs:8,runs_batted_in:37,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:79,batting_avg:.257,onbase:.334,slugging:.385,ops:erc">.385,ops+:lugging">.719,bases:102,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:0
pos:2B,name:Joe Lawrence,age:25,games:55,plate_appearances:174,at_bats:150,runs:16,hits:27,doubles:4,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:2,caught_stealing:1,walks:16,strikeouts:38,batting_avg:.180,onbase:.262,slugging:.247,ops:erc">.247,ops+:lugging">.508,bases:37,double_plays:1,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:0
pos:C,name:Darrin Fletcher,age:35,games:45,plate_appearances:135,at_bats:127,runs:8,hits:28,doubles:6,triples:0,home_runs:3,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:13,batting_avg:.220,onbase:.239,slugging:.339,ops:erc">.339,ops+:lugging">.577,bases:43,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:0
pos:RF,name:Dewayne Wise,age:24,games:42,plate_appearances:116,at_bats:112,runs:14,hits:20,doubles:4,triples:1,home_runs:3,runs_batted_in:13,stolen_bases:5,caught_stealing:0,walks:4,strikeouts:15,batting_avg:.179,onbase:.207,slugging:.313,ops:erc">.313,ops+:lugging">.519,bases:35,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Homer Bush,age:29,games:23,plate_appearances:83,at_bats:78,runs:9,hits:18,doubles:2,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:2,strikeouts:12,batting_avg:.231,onbase:.268,slugging:.295,ops:erc">.295,ops+:lugging">.563,bases:23,double_plays:2,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Jayson Werth,age:23,games:15,plate_appearances:53,at_bats:46,runs:4,hits:12,doubles:2,triples:1,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:11,batting_avg:.261,onbase:.340,slugging:.348,ops:erc">.348,ops+:lugging">.687,bases:16,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Brian Lesher,age:31,games:24,plate_appearances:43,at_bats:38,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:15,batting_avg:.132,onbase:.209,slugging:.158,ops:erc">.158,ops+:lugging">.367,bases:6,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Kevin Cash,age:24,games:7,plate_appearances:15,at_bats:14,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.143,onbase:.200,slugging:.143,ops:erc">.143,ops+:lugging">.343,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Pedro Swann,age:31,games:13,plate_appearances:13,at_bats:12,runs:3,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.083,onbase:.154,slugging:.083,ops:erc">.083,ops+:lugging">.237,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Esteban Loaiza,age:30,games:2,plate_appearances:6,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Roy Halladay,age:25,games:2,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Parris,age:34,games:2,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Corey Thurman,age:23,games:3,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Justin Miller,age:24,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chris Carpenter,age:27,games:1,plate_appearances:2,at_bats:1,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:1.000,ops:erc">1.000,ops+:lugging">2.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Lyon,age:22,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brian Cooper,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob File,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pedro Borbon,age:34,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kelvim Escobar,age:26,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brian Bowles,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Felix Heredia,age:27,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Cliff Politte,age:28,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Plesac,age:40,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
