pos:C,name:Gregg Zaun,age:36,games:110,plate_appearances:391,at_bats:331,runs:43,hits:80,doubles:24,triples:1,home_runs:10,runs_batted_in:52,stolen_bases:0,caught_stealing:0,walks:51,strikeouts:55,batting_avg:.242,onbase:.341,slugging:.411,ops:erc">.411,ops+:lugging">.752,bases:136,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:6,intentional_walks:8
pos:1B,name:Lyle Overbay,age:30,games:122,plate_appearances:476,at_bats:425,runs:49,hits:102,doubles:30,triples:2,home_runs:10,runs_batted_in:44,stolen_bases:2,caught_stealing:0,walks:47,strikeouts:78,batting_avg:.240,onbase:.315,slugging:.391,ops:erc">.391,ops+:lugging">.706,bases:166,double_plays:12,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:4
pos:2B,name:Aaron Hill,age:25,games:160,plate_appearances:657,at_bats:608,runs:87,hits:177,doubles:47,triples:2,home_runs:17,runs_batted_in:78,stolen_bases:4,caught_stealing:3,walks:41,strikeouts:102,batting_avg:.291,onbase:.333,slugging:.459,ops:erc">.459,ops+:lugging">.792,bases:279,double_plays:21,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:1
pos:SS,name:John McDonald,age:32,games:123,plate_appearances:353,at_bats:327,runs:32,hits:82,doubles:20,triples:2,home_runs:1,runs_batted_in:31,stolen_bases:7,caught_stealing:2,walks:11,strikeouts:48,batting_avg:.251,onbase:.279,slugging:.333,ops:erc">.333,ops+:lugging">.612,bases:109,double_plays:4,hit_by_pitch:2,sac_hits:12,sac_flies:1,intentional_walks:0
pos:3B,name:Troy Glaus,age:30,games:115,plate_appearances:456,at_bats:385,runs:60,hits:101,doubles:19,triples:1,home_runs:20,runs_batted_in:62,stolen_bases:0,caught_stealing:1,walks:61,strikeouts:102,batting_avg:.262,onbase:.366,slugging:.473,ops:erc">.473,ops+:lugging">.839,bases:182,double_plays:7,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:2
pos:LF,name:Adam Lind,age:23,games:89,plate_appearances:311,at_bats:290,runs:34,hits:69,doubles:14,triples:0,home_runs:11,runs_batted_in:46,stolen_bases:1,caught_stealing:2,walks:16,strikeouts:65,batting_avg:.238,onbase:.278,slugging:.400,ops:erc">.400,ops+:lugging">.678,bases:116,double_plays:7,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:0
pos:CF,name:Vernon Wells,age:28,games:149,plate_appearances:642,at_bats:584,runs:85,hits:143,doubles:36,triples:4,home_runs:16,runs_batted_in:80,stolen_bases:10,caught_stealing:4,walks:49,strikeouts:89,batting_avg:.245,onbase:.304,slugging:.402,ops:erc">.402,ops+:lugging">.706,bases:235,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:4
pos:RF,name:Alex Rios,age:26,games:161,plate_appearances:711,at_bats:643,runs:114,hits:191,doubles:43,triples:7,home_runs:24,runs_batted_in:85,stolen_bases:17,caught_stealing:4,walks:55,strikeouts:103,batting_avg:.297,onbase:.354,slugging:.498,ops:erc">.498,ops+:lugging">.852,bases:320,double_plays:9,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:3
pos:DH,name:Frank Thomas,age:39,games:155,plate_appearances:624,at_bats:531,runs:63,hits:147,doubles:30,triples:0,home_runs:26,runs_batted_in:95,stolen_bases:0,caught_stealing:0,walks:81,strikeouts:94,batting_avg:.277,onbase:.377,slugging:.480,ops:erc">.480,ops+:lugging">.857,bases:255,double_plays:14,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:3
pos:UT,name:Matt Stairs,age:39,games:125,plate_appearances:405,at_bats:357,runs:58,hits:103,doubles:28,triples:1,home_runs:21,runs_batted_in:64,stolen_bases:2,caught_stealing:1,walks:44,strikeouts:66,batting_avg:.289,onbase:.368,slugging:.549,ops:erc">.549,ops+:lugging">.917,bases:196,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:5
pos:LF,name:Reed Johnson,age:30,games:79,plate_appearances:307,at_bats:275,runs:31,hits:65,doubles:13,triples:2,home_runs:2,runs_batted_in:14,stolen_bases:4,caught_stealing:2,walks:16,strikeouts:56,batting_avg:.236,onbase:.305,slugging:.320,ops:erc">.320,ops+:lugging">.625,bases:88,double_plays:7,hit_by_pitch:11,sac_hits:5,sac_flies:0,intentional_walks:0
