pos:C,name:Rod Barajas,age:32,games:104,plate_appearances:377,at_bats:349,runs:44,hits:87,doubles:23,triples:0,home_runs:11,runs_batted_in:49,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:61,batting_avg:.249,onbase:.294,slugging:.410,ops:erc">.410,ops+:lugging">.704,bases:143,double_plays:9,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:0
pos:1B,name:Lyle Overbay,age:31,games:158,plate_appearances:630,at_bats:544,runs:74,hits:147,doubles:32,triples:2,home_runs:15,runs_batted_in:69,stolen_bases:1,caught_stealing:2,walks:74,strikeouts:116,batting_avg:.270,onbase:.358,slugging:.419,ops:erc">.419,ops+:lugging">.777,bases:228,double_plays:24,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:3
pos:2B,name:Joe Inglett,age:30,games:109,plate_appearances:385,at_bats:344,runs:45,hits:102,doubles:15,triples:7,home_runs:3,runs_batted_in:39,stolen_bases:9,caught_stealing:2,walks:28,strikeouts:43,batting_avg:.297,onbase:.355,slugging:.407,ops:erc">.407,ops+:lugging">.762,bases:140,double_plays:5,hit_by_pitch:4,sac_hits:8,sac_flies:1,intentional_walks:0
pos:SS,name:David Eckstein,age:33,games:76,plate_appearances:303,at_bats:260,runs:27,hits:72,doubles:18,triples:0,home_runs:1,runs_batted_in:23,stolen_bases:2,caught_stealing:1,walks:24,strikeouts:27,batting_avg:.277,onbase:.354,slugging:.358,ops:erc">.358,ops+:lugging">.711,bases:93,double_plays:6,hit_by_pitch:8,sac_hits:9,sac_flies:2,intentional_walks:1
pos:3B,name:Scott Rolen,age:33,games:115,plate_appearances:467,at_bats:408,runs:58,hits:107,doubles:30,triples:3,home_runs:11,runs_batted_in:50,stolen_bases:5,caught_stealing:0,walks:46,strikeouts:71,batting_avg:.262,onbase:.349,slugging:.431,ops:erc">.431,ops+:lugging">.780,bases:176,double_plays:12,hit_by_pitch:10,sac_hits:0,sac_flies:3,intentional_walks:2
pos:LF,name:Adam Lind,age:24,games:88,plate_appearances:349,at_bats:326,runs:48,hits:92,doubles:16,triples:4,home_runs:9,runs_batted_in:40,stolen_bases:2,caught_stealing:0,walks:16,strikeouts:59,batting_avg:.282,onbase:.316,slugging:.439,ops:erc">.439,ops+:lugging">.755,bases:143,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:3
pos:CF,name:Vernon Wells,age:29,games:108,plate_appearances:466,at_bats:427,runs:63,hits:128,doubles:22,triples:1,home_runs:20,runs_batted_in:78,stolen_bases:4,caught_stealing:2,walks:29,strikeouts:46,batting_avg:.300,onbase:.343,slugging:.496,ops:erc">.496,ops+:lugging">.840,bases:212,double_plays:16,hit_by_pitch:3,sac_hits:0,sac_flies:7,intentional_walks:5
pos:RF,name:Alex Rios,age:27,games:155,plate_appearances:687,at_bats:635,runs:91,hits:185,doubles:47,triples:8,home_runs:15,runs_batted_in:79,stolen_bases:32,caught_stealing:8,walks:44,strikeouts:112,batting_avg:.291,onbase:.337,slugging:.461,ops:erc">.461,ops+:lugging">.798,bases:293,double_plays:20,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:2
pos:DH,name:Matt Stairs,age:40,games:105,plate_appearances:368,at_bats:320,runs:42,hits:80,doubles:11,triples:1,home_runs:11,runs_batted_in:44,stolen_bases:1,caught_stealing:1,walks:41,strikeouts:87,batting_avg:.250,onbase:.342,slugging:.394,ops:erc">.394,ops+:lugging">.736,bases:126,double_plays:10,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:9
pos:IF,name:Marco Scutaro,age:32,games:145,plate_appearances:592,at_bats:517,runs:76,hits:138,doubles:23,triples:1,home_runs:7,runs_batted_in:60,stolen_bases:7,caught_stealing:2,walks:57,strikeouts:65,batting_avg:.267,onbase:.341,slugging:.356,ops:erc">.356,ops+:lugging">.697,bases:184,double_plays:8,hit_by_pitch:5,sac_hits:6,sac_flies:7,intentional_walks:0
pos:C,name:Gregg Zaun,age:37,games:86,plate_appearances:288,at_bats:245,runs:29,hits:58,doubles:12,triples:0,home_runs:6,runs_batted_in:30,stolen_bases:2,caught_stealing:1,walks:38,strikeouts:38,batting_avg:.237,onbase:.340,slugging:.359,ops:erc">.359,ops+:lugging">.700,bases:88,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:1
