pos:C,name:J.P. Arencibia,age:26,games:102,plate_appearances:372,at_bats:347,runs:45,hits:81,doubles:16,triples:0,home_runs:18,runs_batted_in:56,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:108,batting_avg:.233,onbase:.275,slugging:.435,ops:erc">.435,ops+:lugging">.710,bases:151,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:1
pos:1B,name:Adam Lind,age:28,games:93,plate_appearances:353,at_bats:321,runs:28,hits:82,doubles:14,triples:2,home_runs:11,runs_batted_in:45,stolen_bases:0,caught_stealing:0,walks:29,strikeouts:61,batting_avg:.255,onbase:.314,slugging:.414,ops:erc">.414,ops+:lugging">.729,bases:133,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Kelly Johnson,age:30,games:142,plate_appearances:581,at_bats:507,runs:61,hits:114,doubles:19,triples:2,home_runs:16,runs_batted_in:55,stolen_bases:14,caught_stealing:2,walks:62,strikeouts:159,batting_avg:.225,onbase:.313,slugging:.365,ops:erc">.365,ops+:lugging">.678,bases:185,double_plays:8,hit_by_pitch:5,sac_hits:2,sac_flies:4,intentional_walks:4
pos:SS,name:Yunel Escobar,age:29,games:145,plate_appearances:608,at_bats:558,runs:58,hits:141,doubles:22,triples:1,home_runs:9,runs_batted_in:51,stolen_bases:5,caught_stealing:1,walks:35,strikeouts:70,batting_avg:.253,onbase:.300,slugging:.344,ops:erc">.344,ops+:lugging">.644,bases:192,double_plays:21,hit_by_pitch:4,sac_hits:7,sac_flies:4,intentional_walks:1
pos:3B,name:Brett Lawrie,age:22,games:125,plate_appearances:536,at_bats:494,runs:73,hits:135,doubles:26,triples:3,home_runs:11,runs_batted_in:48,stolen_bases:13,caught_stealing:8,walks:33,strikeouts:86,batting_avg:.273,onbase:.324,slugging:.405,ops:erc">.405,ops+:lugging">.729,bases:200,double_plays:9,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:0
pos:LF,name:Rajai Davis,age:31,games:142,plate_appearances:487,at_bats:447,runs:64,hits:115,doubles:24,triples:3,home_runs:8,runs_batted_in:43,stolen_bases:46,caught_stealing:13,walks:29,strikeouts:102,batting_avg:.257,onbase:.309,slugging:.378,ops:erc">.378,ops+:lugging">.687,bases:169,double_plays:8,hit_by_pitch:6,sac_hits:1,sac_flies:4,intentional_walks:3
pos:CF,name:Colby Rasmus,age:25,games:151,plate_appearances:625,at_bats:565,runs:75,hits:126,doubles:21,triples:5,home_runs:23,runs_batted_in:75,stolen_bases:4,caught_stealing:3,walks:47,strikeouts:149,batting_avg:.223,onbase:.289,slugging:.400,ops:erc">.400,ops+:lugging">.689,bases:226,double_plays:7,hit_by_pitch:7,sac_hits:2,sac_flies:4,intentional_walks:5
pos:RF,name:Jose Bautista,age:31,games:92,plate_appearances:399,at_bats:332,runs:64,hits:80,doubles:14,triples:0,home_runs:27,runs_batted_in:65,stolen_bases:5,caught_stealing:2,walks:59,strikeouts:63,batting_avg:.241,onbase:.358,slugging:.527,ops:erc">.527,ops+:lugging">.886,bases:175,double_plays:11,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:2
pos:DH,name:Edwin Encarnacion,age:29,games:151,plate_appearances:644,at_bats:542,runs:93,hits:152,doubles:24,triples:0,home_runs:42,runs_batted_in:110,stolen_bases:13,caught_stealing:3,walks:84,strikeouts:94,batting_avg:.280,onbase:.384,slugging:.557,ops:erc">.557,ops+:lugging">.941,bases:302,double_plays:6,hit_by_pitch:11,sac_hits:0,sac_flies:7,intentional_walks:12
pos:C,name:Jeff Mathis,age:29,games:70,plate_appearances:227,at_bats:211,runs:25,hits:46,doubles:13,triples:0,home_runs:8,runs_batted_in:27,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:68,batting_avg:.218,onbase:.249,slugging:.393,ops:erc">.393,ops+:lugging">.642,bases:83,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
pos:OF,name:Anthony Gose,age:21,games:56,plate_appearances:189,at_bats:166,runs:25,hits:37,doubles:7,triples:3,home_runs:1,runs_batted_in:11,stolen_bases:15,caught_stealing:3,walks:17,strikeouts:59,batting_avg:.223,onbase:.303,slugging:.319,ops:erc">.319,ops+:lugging">.622,bases:53,double_plays:1,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
