pos:C,name:Jesus Flores,age:23,games:90,plate_appearances:324,at_bats:301,runs:23,hits:77,doubles:18,triples:1,home_runs:8,runs_batted_in:59,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:78,batting_avg:.256,onbase:.296,slugging:.402,ops:erc">.402,ops+:lugging">.698,bases:121,double_plays:7,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:1
pos:1B,name:Aaron Boone,age:35,games:104,plate_appearances:255,at_bats:232,runs:23,hits:56,doubles:13,triples:1,home_runs:6,runs_batted_in:28,stolen_bases:0,caught_stealing:1,walks:18,strikeouts:52,batting_avg:.241,onbase:.299,slugging:.384,ops:erc">.384,ops+:lugging">.683,bases:89,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:1
pos:2B,name:Felipe Lopez,age:28,games:100,plate_appearances:363,at_bats:325,runs:34,hits:76,doubles:20,triples:0,home_runs:2,runs_batted_in:25,stolen_bases:4,caught_stealing:5,walks:32,strikeouts:54,batting_avg:.234,onbase:.305,slugging:.314,ops:erc">.314,ops+:lugging">.619,bases:102,double_plays:13,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:1
pos:SS,name:Cristian Guzman,age:30,games:138,plate_appearances:612,at_bats:579,runs:77,hits:183,doubles:35,triples:5,home_runs:9,runs_batted_in:55,stolen_bases:6,caught_stealing:5,walks:23,strikeouts:57,batting_avg:.316,onbase:.345,slugging:.440,ops:erc">.440,ops+:lugging">.786,bases:255,double_plays:10,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:1
pos:3B,name:Ryan Zimmerman,age:23,games:106,plate_appearances:466,at_bats:428,runs:51,hits:121,doubles:24,triples:1,home_runs:14,runs_batted_in:51,stolen_bases:1,caught_stealing:1,walks:31,strikeouts:71,batting_avg:.283,onbase:.333,slugging:.442,ops:erc">.442,ops+:lugging">.774,bases:189,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:1
pos:LF,name:Willie Harris,age:30,games:140,plate_appearances:424,at_bats:367,runs:58,hits:92,doubles:14,triples:4,home_runs:13,runs_batted_in:43,stolen_bases:13,caught_stealing:3,walks:50,strikeouts:66,batting_avg:.251,onbase:.344,slugging:.417,ops:erc">.417,ops+:lugging">.761,bases:153,double_plays:8,hit_by_pitch:3,sac_hits:3,sac_flies:1,intentional_walks:2
pos:CF,name:Lastings Milledge,age:23,games:138,plate_appearances:587,at_bats:523,runs:65,hits:140,doubles:24,triples:2,home_runs:14,runs_batted_in:61,stolen_bases:24,caught_stealing:9,walks:38,strikeouts:96,batting_avg:.268,onbase:.330,slugging:.402,ops:erc">.402,ops+:lugging">.731,bases:210,double_plays:19,hit_by_pitch:14,sac_hits:5,sac_flies:7,intentional_walks:1
pos:RF,name:Austin Kearns,age:28,games:86,plate_appearances:357,at_bats:313,runs:40,hits:68,doubles:10,triples:0,home_runs:7,runs_batted_in:32,stolen_bases:2,caught_stealing:2,walks:35,strikeouts:63,batting_avg:.217,onbase:.311,slugging:.316,ops:erc">.316,ops+:lugging">.627,bases:99,double_plays:11,hit_by_pitch:8,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Ronnie Belliard,age:33,games:96,plate_appearances:337,at_bats:296,runs:37,hits:85,doubles:22,triples:0,home_runs:11,runs_batted_in:46,stolen_bases:3,caught_stealing:2,walks:37,strikeouts:58,batting_avg:.287,onbase:.372,slugging:.473,ops:erc">.473,ops+:lugging">.845,bases:140,double_plays:6,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:1
pos:RF,name:Elijah Dukes,age:24,games:81,plate_appearances:334,at_bats:276,runs:48,hits:73,doubles:16,triples:2,home_runs:13,runs_batted_in:44,stolen_bases:13,caught_stealing:4,walks:50,strikeouts:79,batting_avg:.264,onbase:.386,slugging:.478,ops:erc">.478,ops+:lugging">.864,bases:132,double_plays:10,hit_by_pitch:6,sac_hits:0,sac_flies:2,intentional_walks:1
pos:LF,name:Wily Mo Pena,age:26,games:64,plate_appearances:206,at_bats:195,runs:10,hits:40,doubles:6,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:48,batting_avg:.205,onbase:.243,slugging:.267,ops:erc">.267,ops+:lugging">.509,bases:52,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Wil Nieves,age:30,games:68,plate_appearances:196,at_bats:176,runs:15,hits:46,doubles:9,triples:1,home_runs:1,runs_batted_in:20,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:29,batting_avg:.261,onbase:.309,slugging:.341,ops:erc">.341,ops+:lugging">.650,bases:60,double_plays:7,hit_by_pitch:0,sac_hits:5,sac_flies:2,intentional_walks:1
pos:CI,name:Kory Casto,age:26,games:66,plate_appearances:182,at_bats:163,runs:15,hits:35,doubles:10,triples:0,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:36,batting_avg:.215,onbase:.297,slugging:.313,ops:erc">.313,ops+:lugging">.610,bases:51,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Dmitri Young,age:34,games:50,plate_appearances:180,at_bats:150,runs:15,hits:42,doubles:6,triples:0,home_runs:4,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:28,batting_avg:.280,onbase:.394,slugging:.400,ops:erc">.400,ops+:lugging">.794,bases:60,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:4
pos:2B,name:Emilio Bonifacio,age:23,games:41,plate_appearances:174,at_bats:157,runs:26,hits:39,doubles:5,triples:5,home_runs:0,runs_batted_in:12,stolen_bases:6,caught_stealing:4,walks:14,strikeouts:41,batting_avg:.248,onbase:.305,slugging:.344,ops:erc">.344,ops+:lugging">.649,bases:54,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:0
pos:UT,name:Paul Lo Duca,age:36,games:46,plate_appearances:153,at_bats:139,runs:13,hits:32,doubles:7,triples:0,home_runs:0,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:9,batting_avg:.230,onbase:.301,slugging:.281,ops:erc">.281,ops+:lugging">.581,bases:39,double_plays:9,hit_by_pitch:5,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Nick Johnson,age:29,games:38,plate_appearances:147,at_bats:109,runs:15,hits:24,doubles:8,triples:0,home_runs:5,runs_batted_in:20,stolen_bases:0,caught_stealing:0,walks:33,strikeouts:25,batting_avg:.220,onbase:.415,slugging:.431,ops:erc">.431,ops+:lugging">.846,bases:47,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:4
pos:OF,name:Ryan Langerhans,age:28,games:73,plate_appearances:139,at_bats:111,runs:17,hits:26,doubles:5,triples:2,home_runs:3,runs_batted_in:12,stolen_bases:2,caught_stealing:0,walks:25,strikeouts:31,batting_avg:.234,onbase:.380,slugging:.396,ops:erc">.396,ops+:lugging">.776,bases:44,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:2B,name:Anderson Hernandez,age:25,games:28,plate_appearances:91,at_bats:81,runs:11,hits:27,doubles:4,triples:0,home_runs:0,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:8,batting_avg:.333,onbase:.407,slugging:.383,ops:erc">.383,ops+:lugging">.789,bases:31,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
