pos:C,name:Ivan Rodriguez,age:38,games:111,plate_appearances:421,at_bats:398,runs:32,hits:106,doubles:18,triples:1,home_runs:4,runs_batted_in:49,stolen_bases:2,caught_stealing:3,walks:16,strikeouts:66,batting_avg:.266,onbase:.294,slugging:.347,ops:erc">.347,ops+:lugging">.640,bases:138,double_plays:25,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:2
pos:1B,name:Adam Dunn,age:30,games:158,plate_appearances:648,at_bats:558,runs:85,hits:145,doubles:36,triples:2,home_runs:38,runs_batted_in:103,stolen_bases:0,caught_stealing:1,walks:77,strikeouts:199,batting_avg:.260,onbase:.356,slugging:.536,ops:erc">.536,ops+:lugging">.892,bases:299,double_plays:10,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:10
pos:2B,name:Adam Kennedy,age:34,games:135,plate_appearances:389,at_bats:342,runs:43,hits:85,doubles:16,triples:1,home_runs:3,runs_batted_in:31,stolen_bases:14,caught_stealing:2,walks:37,strikeouts:44,batting_avg:.249,onbase:.327,slugging:.327,ops:erc">.327,ops+:lugging">.655,bases:112,double_plays:10,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:1
pos:SS,name:Ian Desmond,age:24,games:154,plate_appearances:574,at_bats:525,runs:59,hits:141,doubles:27,triples:4,home_runs:10,runs_batted_in:65,stolen_bases:17,caught_stealing:5,walks:28,strikeouts:109,batting_avg:.269,onbase:.308,slugging:.392,ops:erc">.392,ops+:lugging">.700,bases:206,double_plays:9,hit_by_pitch:5,sac_hits:9,sac_flies:7,intentional_walks:3
pos:3B,name:Ryan Zimmerman,age:25,games:142,plate_appearances:603,at_bats:525,runs:85,hits:161,doubles:32,triples:0,home_runs:25,runs_batted_in:85,stolen_bases:4,caught_stealing:1,walks:69,strikeouts:98,batting_avg:.307,onbase:.388,slugging:.510,ops:erc">.510,ops+:lugging">.899,bases:268,double_plays:16,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:6
pos:LF,name:Josh Willingham,age:31,games:114,plate_appearances:451,at_bats:370,runs:54,hits:99,doubles:19,triples:2,home_runs:16,runs_batted_in:56,stolen_bases:8,caught_stealing:0,walks:67,strikeouts:85,batting_avg:.268,onbase:.389,slugging:.459,ops:erc">.459,ops+:lugging">.848,bases:170,double_plays:8,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:3
pos:CF,name:Nyjer Morgan,age:29,games:136,plate_appearances:577,at_bats:509,runs:60,hits:129,doubles:17,triples:7,home_runs:0,runs_batted_in:24,stolen_bases:34,caught_stealing:17,walks:40,strikeouts:88,batting_avg:.253,onbase:.319,slugging:.314,ops:erc">.314,ops+:lugging">.633,bases:160,double_plays:2,hit_by_pitch:10,sac_hits:15,sac_flies:3,intentional_walks:1
pos:RF,name:Mike Morse,age:28,games:98,plate_appearances:293,at_bats:266,runs:36,hits:77,doubles:12,triples:2,home_runs:15,runs_batted_in:41,stolen_bases:0,caught_stealing:1,walks:22,strikeouts:64,batting_avg:.289,onbase:.352,slugging:.519,ops:erc">.519,ops+:lugging">.870,bases:138,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Roger Bernadina,age:26,games:134,plate_appearances:461,at_bats:414,runs:52,hits:102,doubles:18,triples:3,home_runs:11,runs_batted_in:47,stolen_bases:16,caught_stealing:2,walks:35,strikeouts:93,batting_avg:.246,onbase:.307,slugging:.384,ops:erc">.384,ops+:lugging">.691,bases:159,double_plays:3,hit_by_pitch:4,sac_hits:2,sac_flies:6,intentional_walks:1
pos:2B,name:Cristian Guzman,age:32,games:89,plate_appearances:346,at_bats:319,runs:44,hits:90,doubles:11,triples:4,home_runs:2,runs_batted_in:25,stolen_bases:4,caught_stealing:2,walks:17,strikeouts:53,batting_avg:.282,onbase:.327,slugging:.361,ops:erc">.361,ops+:lugging">.687,bases:115,double_plays:7,hit_by_pitch:5,sac_hits:3,sac_flies:2,intentional_walks:3
pos:OF,name:Willie Harris,age:32,games:132,plate_appearances:262,at_bats:224,runs:25,hits:41,doubles:6,triples:2,home_runs:10,runs_batted_in:32,stolen_bases:5,caught_stealing:2,walks:33,strikeouts:60,batting_avg:.183,onbase:.291,slugging:.362,ops:erc">.362,ops+:lugging">.653,bases:81,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:IF,name:Alberto Gonzalez,age:27,games:114,plate_appearances:198,at_bats:186,runs:19,hits:46,doubles:8,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:30,batting_avg:.247,onbase:.277,slugging:.301,ops:erc">.301,ops+:lugging">.578,bases:56,double_plays:8,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:0
pos:C,name:Wil Nieves,age:32,games:59,plate_appearances:172,at_bats:158,runs:10,hits:32,doubles:8,triples:0,home_runs:3,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:29,batting_avg:.203,onbase:.244,slugging:.310,ops:erc">.310,ops+:lugging">.554,bases:49,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:2
pos:OF,name:Justin Maxwell,age:26,games:67,plate_appearances:131,at_bats:104,runs:16,hits:15,doubles:6,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:5,caught_stealing:1,walks:25,strikeouts:43,batting_avg:.144,onbase:.305,slugging:.288,ops:erc">.288,ops+:lugging">.594,bases:30,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:2
